carat,clarity,color,cut,price
0.6,VVS1,G,Very Good,1962
0.81,SI2,G,Very Good,1462
0.6,VS2,J,Very Good,1293
0.51,VS2,H,Ideal,1367
1.51,VS1,F,Very Good,10905
0.3,VS1,I,Ideal,494
1.05,VS1,F,Ideal,8756
0.71,VVS2,G,Ideal,2649
0.5,VVS1,I,Good,1120
1.7,VS1,H,Ideal,13537
0.64,VVS2,D,Very Good,1340
0.29,FL,D,Ideal,1072
0.3,VVS1,E,Ideal,578
0.36,SI2,J,Ideal,459
0.4,VVS2,D,Very Good,838
1.02,VS2,G,Good,5981
1.2,VS1,D,Very Good,12046
1.01,VVS2,D,Very Good,6515
0.33,VVS2,F,Ideal,794
4.03,SI1,E,Ideal,63612
0.42,VVS2,I,Ideal,677
0.3,VVS1,F,Very Good,612
1.21,VS1,J,Astor Ideal,5154
0.31,VS1,H,Ideal,564
0.5,SI1,H,Good,1127
0.5,VVS2,G,Ideal,1527
0.38,SI1,G,Ideal,617
0.32,VS2,J,Ideal,440
0.57,SI1,E,Ideal,1448
1.38,SI1,H,Ideal,7668
0.4,VVS1,J,Ideal,747
0.5,SI1,D,Ideal,1658
0.32,VVS1,E,Ideal,747
0.7,SI2,D,Good,1854
3.16,SI2,H,Ideal,32272
0.3,VS2,E,Ideal,533
1.03,SI1,G,Ideal,6229
1.01,VS1,E,Very Good,6406
2.08,SI1,E,Very Good,21563
0.5,VVS2,I,Ideal,1398
0.4,SI1,H,Ideal,765
0.53,VVS2,E,Ideal,1983
0.3,SI2,I,Ideal,386
0.91,SI1,I,Ideal,3661
2.02,SI2,H,Very Good,15294
0.5,VVS1,I,Very Good,1284
0.36,SI1,I,Ideal,537
0.5,VS1,I,Ideal,1287
0.31,VVS1,E,Ideal,712
0.51,VS1,I,Ideal,1370
0.59,SI2,G,Ideal,1238
0.5,SI1,G,Ideal,1335
0.57,VS1,I,Ideal,1367
0.4,SI1,H,Ideal,670
0.3,SI1,E,Very Good,428
0.5,SI1,D,Ideal,1457
1.81,VS2,F,Ideal,17492
0.52,VVS2,D,Ideal,2144
1,VVS2,D,Very Good,8897
0.5,VS2,I,Very Good,1184
0.3,VVS1,F,Ideal,673
0.46,SI1,F,Ideal,841
0.4,VS1,H,Ideal,889
0.54,IF,I,Ideal,1419
0.5,IF,F,Very Good,1427
0.56,VVS2,F,Ideal,1845
0.4,VVS2,I,Ideal,812
0.57,VVS1,E,Ideal,2151
0.55,VS1,G,Ideal,1640
1.01,VVS2,H,Very Good,4019
0.54,SI1,D,Ideal,1475
0.3,SI2,I,Very Good,387
0.7,VVS2,I,Ideal,2048
0.61,VS2,G,Astor Ideal,1682
0.9,SI2,J,Very Good,1850
0.3,SI2,G,Ideal,408
0.53,VS2,D,Astor Ideal,1702
0.32,SI1,E,Ideal,546
0.9,VS2,H,Very Good,3907
0.4,VVS2,H,Very Good,604
0.25,SI2,F,Very Good,328
0.52,VS2,H,Ideal,1543
0.8,VS2,D,Very Good,4861
3.01,VVS2,H,Very Good,40514
0.61,VVS2,I,Ideal,1640
0.36,VVS2,G,Ideal,680
0.43,VS1,E,Ideal,886
3.01,SI1,H,Good,33116
0.3,VVS2,J,Very Good,460
0.5,VS2,J,Ideal,1097
0.5,VS1,G,Very Good,1383
0.52,SI2,H,Ideal,1138
0.35,VS2,H,Ideal,697
0.8,VS2,F,Ideal,3864
0.5,VS2,F,Good,1294
0.51,SI2,F,Ideal,1181
2.32,VVS2,D,Ideal,53202
0.33,VS1,H,Ideal,605
1.2,VVS1,J,Ideal,6428
0.5,VS1,F,Very Good,1594
0.56,VVS2,F,Astor Ideal,2594
0.33,VVS1,F,Ideal,756
1.01,VVS1,E,Very Good,7464
0.35,VVS2,D,Ideal,860
1.96,VS2,I,Very Good,11138
1.71,VS2,F,Ideal,15411
0.72,SI2,F,Ideal,1934
1.75,VS2,E,Good,14035
0.7,VVS2,G,Ideal,2846
1.5,VVS1,I,Very Good,8347
0.7,VS2,F,Good,2301
0.3,VVS1,I,Ideal,524
0.5,SI1,F,Very Good,1168
1.28,VVS1,F,Ideal,11361
0.4,SI1,D,Ideal,847
0.9,VS1,H,Very Good,2805
1,VS1,D,Ideal,9018
0.58,SI2,F,Ideal,1292
1.02,SI1,G,Ideal,6368
0.31,SI2,F,Ideal,388
0.32,SI1,I,Ideal,441
0.4,VS1,G,Very Good,773
0.7,VVS1,J,Ideal,2117
0.7,SI2,H,Ideal,1742
0.51,SI2,E,Very Good,870
1.01,VS1,E,Astor Ideal,6099
0.3,VS2,G,Very Good,500
1.4,IF,D,Ideal,22412
1.02,VVS1,D,Ideal,8246
1.08,VVS2,E,Astor Ideal,7305
0.57,SI1,E,Ideal,1607
1.01,VVS2,D,Very Good,6039
1.51,VVS1,E,Very Good,17453
0.55,VVS2,G,Ideal,1619
0.4,VVS1,F,Very Good,978
2.01,VS1,G,Ideal,26564
0.55,VS1,J,Ideal,1246
0.51,VS2,E,Ideal,1522
0.31,SI2,F,Very Good,403
1.4,VS2,J,Ideal,7265
1.01,SI2,H,Ideal,4625
0.51,VS1,E,Very Good,1258
0.3,VS2,E,Ideal,552
0.5,VVS1,I,Very Good,1300
0.33,VVS2,I,Ideal,441
0.71,SI2,I,Astor Ideal,1455
0.24,VS1,D,Very Good,322
0.75,SI1,E,Very Good,2383
0.7,SI2,E,Very Good,1737
0.24,VVS2,F,Ideal,573
1.51,SI1,H,Ideal,9920
2.12,VVS1,H,Ideal,25995
1.07,VS1,D,Ideal,9086
0.4,VS1,F,Ideal,880
2.01,VS2,E,Very Good,19472
0.31,SI2,H,Ideal,411
0.5,VS1,D,Very Good,1664
0.3,VVS1,D,Ideal,679
1.06,VS1,F,Very Good,5753
0.46,VVS1,D,Ideal,1354
0.5,VS1,E,Very Good,1480
1,SI2,J,Ideal,3705
0.3,VS2,H,Very Good,459
0.7,SI1,F,Very Good,2091
0.43,VVS2,E,Very Good,970
0.36,VS2,E,Ideal,680
1.03,VS1,F,Ideal,8096
0.9,SI2,E,Very Good,2943
1.01,VVS1,D,Very Good,5345
0.63,VVS1,E,Very Good,2248
1.21,VVS2,H,Ideal,8468
3.01,VVS2,J,Ideal,31728
0.5,VS2,H,Ideal,1284
0.75,VVS2,F,Very Good,3479
1,VVS2,J,Very Good,3059
0.82,VS2,E,Very Good,3298
3.01,VS1,G,Very Good,49304
0.33,SI1,F,Ideal,555
1.76,VS1,D,Ideal,24451
1.02,SI1,E,Very Good,4855
0.7,VS2,F,Ideal,2793
1.2,SI1,E,Very Good,5972
0.32,VS1,H,Ideal,671
1.3,VS1,D,Ideal,11348
1.37,VS1,D,Ideal,15277
0.5,VS1,E,Ideal,1594
1.02,VS2,J,Very Good,3333
0.34,VS1,H,Ideal,739
0.51,VVS2,F,Very Good,1394
0.32,SI1,D,Ideal,538
0.41,VVS1,I,Ideal,818
0.3,VS1,H,Very Good,545
0.5,VS2,E,Ideal,1335
0.5,VS2,F,Ideal,1512
0.71,VS1,J,Good,1634
1.01,VVS1,F,Astor Ideal,6913
2.2,VS2,F,Very Good,22322
0.3,VS2,E,Very Good,459
0.7,SI2,D,Good,1504
0.54,VS2,F,Ideal,1548
0.3,SI1,H,Very Good,412
0.7,SI1,D,Ideal,2322
2.5,VS1,F,Very Good,23176
1.01,VS2,F,Very Good,5730
1.63,SI1,F,Very Good,10571
0.3,VVS2,F,Ideal,548
0.3,SI2,H,Ideal,408
1.08,SI1,D,Very Good,4040
0.51,SI2,J,Ideal,977
0.36,VS2,G,Ideal,608
0.73,SI2,E,Very Good,1690
0.7,VS2,E,Very Good,3014
0.65,IF,F,Ideal,3263
2.02,VVS1,H,Very Good,20670
0.62,VS2,I,Ideal,1324
0.23,VVS1,F,Ideal,437
0.5,VS2,H,Very Good,1223
0.55,VS2,E,Ideal,1625
0.52,VS1,G,Ideal,1715
0.5,VS2,H,Very Good,916
0.73,SI1,G,Very Good,1688
0.56,VS1,I,Good,1098
1.05,SI1,F,Astor Ideal,7312
0.36,VVS2,D,Ideal,809
1.51,VVS1,E,Ideal,16977
0.31,SI1,D,Ideal,542
0.3,IF,I,Very Good,522
1.01,VS1,F,Very Good,6376
0.4,VS2,G,Very Good,867
0.31,VS2,H,Ideal,449
0.25,VS2,F,Ideal,515
0.5,VS2,I,Ideal,1307
1.14,VVS2,D,Very Good,8961
0.34,VVS2,E,Ideal,657
1.5,SI1,H,Very Good,9128
0.35,VS1,F,Ideal,648
5.02,VVS2,I,Very Good,123311
0.34,VS1,H,Ideal,608
0.4,VS1,D,Very Good,901
0.23,VS1,E,Very Good,376
0.45,VVS1,J,Very Good,862
1.9,SI1,F,Ideal,19092
1,VS1,J,Ideal,4669
0.45,VS1,D,Very Good,980
1.01,SI1,D,Ideal,6058
0.5,SI1,E,Ideal,1245
0.3,VS1,I,Ideal,506
0.3,VVS1,E,Ideal,700
1.01,VS2,D,Ideal,8063
0.3,SI2,E,Ideal,390
0.53,VS2,D,Ideal,1847
0.42,SI1,E,Ideal,723
0.5,VS2,J,Good,1023
0.41,VVS1,G,Ideal,977
3.08,SI1,I,Very Good,21412
1.05,VS2,H,Ideal,6701
1.41,SI2,D,Ideal,10133
0.34,VVS2,J,Ideal,610
0.81,VS2,F,Astor Ideal,4985
0.4,VS2,I,Ideal,691
0.4,VVS2,I,Ideal,755
2.51,SI1,J,Very Good,14513
1,SI1,I,Ideal,5074
0.3,SI2,G,Ideal,436
0.3,VS2,G,Very Good,435
1,SI2,G,Very Good,2681
1.01,VVS2,F,Ideal,6842
1.01,VS2,G,Very Good,4992
1.7,VS1,E,Ideal,19894
1.01,VS1,F,Good,5180
0.55,VS2,F,Ideal,1575
0.53,SI1,G,Ideal,1415
0.51,VS2,I,Ideal,1308
0.36,VS2,G,Very Good,659
0.53,SI2,E,Ideal,1167
0.4,VS1,E,Ideal,871
0.3,VVS2,G,Ideal,555
0.45,SI1,D,Ideal,1041
0.53,VVS1,F,Very Good,2056
0.32,SI2,D,Ideal,483
0.7,SI1,D,Ideal,2321
0.63,IF,G,Ideal,2225
1.4,VS2,G,Ideal,10582
0.71,VVS2,I,Very Good,2484
0.52,IF,F,Very Good,1589
0.7,SI1,F,Very Good,2136
1.01,SI1,J,Good,1952
0.5,SI2,G,Very Good,1077
0.5,SI2,H,Ideal,1160
0.53,IF,D,Very Good,1642
1,SI2,G,Ideal,4784
0.31,VVS1,I,Ideal,522
0.35,VVS1,J,Ideal,612
0.25,VS2,E,Ideal,486
0.45,VS2,G,Ideal,1079
0.5,VVS1,I,Ideal,1450
0.56,VS1,I,Ideal,1515
0.4,VS2,H,Very Good,605
0.51,VVS1,F,Ideal,1937
1.3,VS1,D,Ideal,13851
1.01,SI1,H,Ideal,5349
0.5,SI1,G,Ideal,1271
0.51,SI2,H,Ideal,1139
0.51,VS1,G,Very Good,1240
0.5,SI1,D,Ideal,1782
0.71,VS2,H,Ideal,2530
1,SI2,E,Good,4200
0.77,SI1,D,Ideal,3058
0.23,IF,G,Ideal,475
0.45,VS1,J,Good,1137
0.9,VS1,H,Ideal,5259
1.23,SI2,D,Very Good,6418
0.52,VVS1,D,Ideal,2142
1.53,SI1,F,Ideal,14589
0.41,VVS1,H,Ideal,898
0.5,VS1,F,Ideal,1468
0.3,SI1,H,Ideal,479
1.01,VS2,J,Very Good,2262
0.6,SI1,G,Ideal,1991
0.45,VVS2,G,Ideal,1037
0.31,VVS1,G,Ideal,579
0.54,VVS2,G,Ideal,1679
0.3,SI1,I,Ideal,418
1.5,SI1,G,Very Good,9398
0.51,SI2,J,Ideal,951
1,VS1,J,Ideal,5028
1,SI2,J,Very Good,3222
1.3,SI1,G,Ideal,7862
0.51,VVS2,D,Ideal,1793
0.57,VS2,H,Ideal,1629
0.33,SI1,F,Ideal,577
0.3,VS2,J,Ideal,369
0.32,VVS2,D,Ideal,722
1.73,SI1,G,Very Good,12386
2.1,VS2,E,Ideal,27997
0.33,VS2,H,Ideal,621
0.43,VS2,E,Ideal,936
0.75,SI1,J,Ideal,1894
0.54,SI1,J,Astor Ideal,1001
1.01,SI1,D,Ideal,6324
0.36,SI2,E,Ideal,682
0.27,VS1,E,Very Good,757
0.9,VS2,J,Very Good,3037
0.7,SI1,H,Good,2364
0.37,VS2,G,Ideal,641
2.01,SI1,F,Very Good,15351
0.5,VS2,I,Ideal,1313
0.5,VVS2,G,Very Good,1378
0.8,VVS2,H,Ideal,3418
1.75,SI1,H,Ideal,13006
4.06,VS2,I,Ideal,58249
5.07,VS1,E,Ideal,265591
3.12,VS2,E,Very Good,63038
0.58,VS1,I,Ideal,1467
1.02,IF,E,Ideal,11027
0.5,VVS1,D,Very Good,1695
1.01,SI1,F,Good,4300
0.51,VS1,G,Very Good,1404
0.62,SI2,J,Ideal,1252
0.51,SI1,D,Ideal,1422
0.7,SI2,F,Ideal,1861
1,VS2,F,Ideal,6931
0.5,VS1,G,Very Good,1445
0.35,VVS2,I,Ideal,651
0.7,VS1,F,Ideal,2924
1.01,VVS2,E,Very Good,6987
2.2,VS1,D,Very Good,25863
0.3,SI2,G,Very Good,463
0.5,VVS2,I,Ideal,1315
0.5,SI1,F,Good,796
0.42,SI1,G,Ideal,716
2.5,VVS1,G,Ideal,46069
0.34,VS2,G,Ideal,616
0.7,VS2,E,Ideal,2940
0.3,VS2,G,Ideal,493
1,SI2,G,Ideal,4970
0.7,SI2,J,Very Good,1565
0.54,VVS2,G,Ideal,1959
0.5,SI2,I,Ideal,1035
0.5,SI2,H,Ideal,1072
0.4,SI1,G,Ideal,671
0.51,VS2,F,Ideal,1504
0.7,VS2,E,Very Good,3193
0.6,SI1,I,Ideal,1371
0.5,VVS1,I,Good,1049
3.01,VS1,I,Very Good,34917
0.51,SI1,E,Ideal,1481
0.5,SI2,F,Very Good,1047
2.02,VVS2,H,Very Good,21771
0.55,VS1,G,Very Good,1165
0.5,VS2,D,Ideal,1464
0.37,VS1,E,Ideal,705
0.32,VVS1,I,Ideal,566
0.7,VS1,E,Ideal,3011
0.5,VS2,F,Ideal,1358
1.6,VS1,J,Ideal,9415
0.8,VS2,J,Ideal,2375
0.25,VS2,F,Ideal,521
1,VS1,I,Ideal,5359
0.55,VVS1,H,Ideal,1553
0.7,SI1,F,Very Good,2082
0.37,IF,F,Ideal,915
0.42,SI1,E,Ideal,822
0.5,VS2,F,Very Good,1393
0.51,VS1,D,Very Good,872
1.02,SI1,H,Ideal,4981
0.6,SI2,I,Ideal,1212
0.8,SI2,F,Ideal,2549
0.83,VS2,D,Very Good,2750
0.5,VS1,J,Good,1077
0.4,VVS2,I,Ideal,911
0.6,SI1,G,Very Good,1452
1.01,SI1,G,Very Good,3878
0.5,VS1,J,Ideal,1137
0.37,IF,H,Ideal,805
0.34,IF,F,Ideal,1037
0.5,SI1,F,Very Good,1285
1.01,IF,E,Ideal,10385
0.46,VVS1,H,Good,825
0.9,SI1,I,Very Good,2298
1.7,SI1,H,Ideal,12240
0.9,SI2,F,Very Good,1928
0.61,IF,E,Ideal,3280
0.3,VS2,F,Very Good,428
0.5,VS2,F,Ideal,1474
0.32,VVS1,E,Very Good,760
0.57,SI1,H,Ideal,1494
0.5,VS1,D,Very Good,1534
1,VS1,E,Very Good,5237
3.2,VVS2,G,Very Good,53794
1.7,VVS1,F,Ideal,19092
0.5,IF,H,Very Good,1384
0.38,VS2,D,Ideal,740
1.52,SI1,G,Very Good,8996
0.5,VS2,E,Good,991
1.92,SI1,I,Ideal,14802
0.24,VVS2,G,Very Good,379
0.51,VS2,F,Very Good,954
0.54,VVS1,D,Ideal,2443
0.4,SI1,G,Ideal,667
0.4,VS1,H,Ideal,808
4.01,VS2,I,Ideal,55815
0.5,VVS2,J,Very Good,1208
0.5,VVS1,I,Ideal,1199
0.44,SI1,J,Ideal,576
0.5,VVS2,E,Ideal,1848
